net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,51,580,1069,0.0,63.9967,71711.35,287.9,102,62.704,0.0,62.9967,70901.33,400.0,141,74.04,0.9356788690687542
3b,2,52,449,986,0.0,56.9974,63954.24,562.1,163,60.714,0.0,56.9973,63923.18,1575.8,295,66.428,0.9298677821940508
3b,2,53,535,1147,0.0,63.9967,71645.42,1898.7,203,72.367,0.0,63.9966,71632.33,674.1,153,76.764,0.9311177546880532
3b,2,54,486,1001,0.0,57.9968,65099.61,592.3,159,60.805,0.0,57.9966,65048.93,359.8,137,58.761,0.9335389789324086
3b,2,55,556,1090,0.0,63.9964,72204.75,1894.2,198,80.829,0.0,61.4965,70070.33,724.3,161,70.445,0.9111462989505966
3b,2,56,585,1166,0.0,63.9968,71905.41,1333.1,182,83.545,0.0,63.9966,71689.26,925.4,171,88.328,0.9133929373218154
3b,2,57,531,1040,0.0,63.9967,71289.57,491.9,129,67.744,0.0,63.9967,71267.48,328.8,138,64.142,0.907303243412591
3b,2,58,507,1091,0.0,61.997,69703.48,3921.8,325,72.686,0.0,60.9967,68939.08,1242.4,211,73.495,0.9177139714553536
3b,2,59,476,989,0.0,50.9973,57624.08,1600.2,227,72.497,0.0,48.9973,55894.04,397.2,150,71.104,0.9002333166954927
3b,2,60,497,956,0.0,57.9969,64649.74,233.1,116,56.575,0.0,57.9968,64629.71,291.0,141,54.66,0.94183334424007
3b,2,61,453,984,0.0,50.9978,57946.52,857.4,186,63.151,0.0,50.9978,57850.47,308.9,147,57.679,0.8714030442949369
3b,2,62,452,1001,0.0,57.9974,64986.26,1997.3,289,63.416,0.0,57.9974,64917.2,350.0,149,62.704,0.8980673677408859
3b,2,63,565,1095,0.0,68.9962,76551.07,470.7,125,66.495,0.0,68.9961,76470.85,403.7,156,67.592,0.9064143144775494
3b,2,64,475,1043,0.0,56.9972,64305.93,1111.3,188,68.357,0.0,56.9972,64082.99,708.9,167,79.996,0.906475827304307
3b,2,65,532,1105,0.0,68.9963,76527.07,970.2,172,74.608,0.0,68.9963,76474.03,536.9,166,65.852,0.9379150600443956
3b,2,66,538,1052,0.0,63.9968,71439.53,490.3,126,67.086,0.0,63.9967,71365.52,424.3,134,67.948,0.9325406515960936
3b,2,68,578,1107,0.0,63.9968,71577.48,497.4,125,70.196,0.0,63.9967,71516.42,571.7,166,69.431,0.9364262884081059
3b,2,69,498,1125,0.0,57.9972,65187.71,472.2,135,71.982,0.0,57.9972,65092.66,1114.2,184,87.563,0.9124029615840554
3b,2,70,514,1013,0.0,57.9972,64951.87,1844.2,258,79.603,0.0,57.997,64928.7,1838.1,281,69.152,0.9204890711508309
3b,2,71,537,996,0.0,63.9967,70975.51,1904.2,268,59.299,0.0,63.9964,70933.14,292.2,143,60.888,0.9339718492878307
3b,2,72,528,1103,0.0,63.9966,71569.31,801.4,150,75.047,0.0,63.9963,71555.07,521.8,168,71.164,0.9369030102921164
3b,2,73,448,997,0.0,50.9973,58054.2,1844.5,260,66.64,0.0,50.9973,58017.09,373.0,152,62.462,0.8932261146239913
3b,2,74,500,967,0.0,59.997,66497.77,1648.8,248,60.268,0.0,59.9969,66423.19,420.4,160,61.161,0.9416842270512441
3b,2,75,527,1079,0.0,63.9968,70891.54,1231.3,181,67.85,0.0,62.9968,69923.51,473.0,153,71.323,0.9369650058092462
3b,2,76,538,985,0.0,63.9969,71391.66,634.0,169,59.435,0.0,63.9969,71227.23,421.1,163,62.031,0.9499330007847169
3b,2,77,551,1072,0.0,63.9967,71623.2,16898.7,358,74.23,0.0,61.9968,69753.31,489.1,164,69.924,0.9078096213499085
3b,2,78,519,1135,0.0,63.9968,71983.3,1919.5,202,78.475,0.0,62.9968,71026.23,694.9,162,67.577,0.9151127374717882
3b,2,79,530,1017,0.0,68.9964,76049.19,297.2,128,57.172,0.0,68.9964,76013.2,349.8,152,57.815,0.943986832866494
3b,2,80,538,1031,0.0,63.9968,71139.58,1123.8,181,72.959,0.0,63.4967,70697.38,483.8,160,63.514,0.9426051518597685
