net,max_min,seed,nb_trips,sol_time,nb_veh_D0,nb_veh_D1,obj_val
3b,2p5,22,866,857.6,0.0,49.9973,56474.23
3b,2p5,23,875,776.3,0.0,48.9977,54840.8
3b,2p5,24,788,413.5,0.0,48.9977,55348.85
3b,2p5,25,881,618.0,0.0,43.9977,50724.62
3b,2p5,26,846,925.1,0.0,45.9974,52030.34
3b,2p5,27,769,203.5,0.0,49.9978,55524.89
3b,2p5,28,768,1131.3,0.0,53.9973,60338.36
3b,2p5,29,891,186.2,0.0,53.9974,60424.46
3b,2p5,30,802,1822.6,0.0,48.9977,55162.71
3b,2p5,31,832,1112.1,0.0,53.9973,60604.24
3b,2p5,32,859,400.4,0.0,43.9978,51022.78
3b,2p5,33,885,674.7,0.0,45.9974,52028.42
3b,2p5,34,776,169.7,0.0,48.9977,54836.73
3b,2p5,35,947,207.9,0.0,59.9969,66635.83
3b,2p5,36,1069,1214.0,0.0,63.9969,71469.73
3b,2p5,37,903,1573.4,0.0,53.9973,60632.38
3b,2p5,38,934,322.0,0.0,63.9969,70813.8
3b,2p5,39,865,281.6,0.0,55.997,62523.87
3b,2p5,40,831,1070.5,0.0,55.9968,62325.84
3b,2p5,41,895,859.2,0.0,50.9973,57372.35
3b,2p5,42,849,438.0,0.0,48.9977,54918.63
3b,2p5,43,837,318.1,0.0,48.9971,55412.12
3b,2p5,44,777,975.4,0.0,57.9974,64372.5
3b,2p5,45,867,1596.9,0.0,57.9971,64460.13
3b,2p5,46,866,691.7,0.0,59.9969,66755.87
3b,2p5,47,912,763.4,0.0,53.9975,60044.36
3b,2p5,48,930,853.8,0.0,59.9971,66846.01
3b,2p5,49,897,532.1,0.0,55.997,62568.03
3b,2p5,50,916,645.7,0.0,63.9969,70735.73
3b,2p5,51,873,268.8,0.0,55.9971,62682.07
3b,2p5,52,775,1082.6,0.0,47.9978,53681.06
3b,2p5,53,942,240.1,0.0,53.9974,60934.4
3b,2p5,54,802,298.9,0.0,50.9974,57192.36
3b,2p5,55,876,911.5,0.0,49.9975,56122.45
3b,2p5,56,932,241.0,0.0,53.9973,60602.2
3b,2p5,57,820,203.1,0.0,50.9974,57036.56
3b,2p5,58,883,5222.9,0.0,47.9978,54044.68
3b,2p5,59,784,570.0,0.0,47.9979,53952.95
3b,2p5,60,743,429.6,0.0,48.9975,54748.68
3b,2p5,61,774,301.5,0.0,45.9978,51438.89
3b,2p5,62,838,200.1,0.0,41.9977,48188.87
3b,2p5,63,898,553.5,0.0,57.9972,64510.18
3b,2p5,64,840,279.7,0.0,47.9974,54292.44
3b,2p5,65,931,343.8,0.0,63.997,70955.9
3b,2p5,66,878,814.9,0.0,55.9969,62463.95
3b,2p5,67,883,202.3,0.0,47.9974,54300.52
3b,2p5,68,884,2217.8,0.0,49.9975,56270.42
3b,2p5,69,919,1167.4,0.0,39.9981,46757.22
3b,2p5,70,807,247.5,0.0,50.9975,57134.46
3b,2p5,71,795,1852.9,0.0,55.9972,62452.2
3b,2p5,73,806,288.5,0.0,47.9976,54104.44
3b,2p5,74,783,154.8,0.0,53.9976,60036.64
3b,2p5,75,883,1696.6,0.0,53.9974,60568.17
3b,2p5,76,850,402.8,0.0,55.9971,62288.04
3b,2p5,77,873,261.2,0.0,50.9972,57600.27
3b,2p5,78,933,361.0,0.0,53.9974,60948.24
3b,2p5,79,858,459.0,0.0,63.9968,70863.71
3b,2p5,80,823,515.8,0.0,50.9975,56864.73
3b,2p5,81,928,417.5,0.0,63.9969,71011.83
3b,2p5,82,761,261.8,0.0,50.9975,57108.64
3b,2p5,83,801,339.7,0.0,50.9975,57244.67
3b,2p5,84,931,302.8,0.0,53.9973,60364.2
3b,2p5,85,823,1543.2,0.0,55.9967,62101.7
3b,2p5,86,836,274.7,0.0,53.9971,59994.21
3b,2p5,87,807,257.6,0.0,53.9974,60164.34
3b,2p5,88,855,809.9,0.0,45.9974,52682.24
3b,2p5,89,793,555.8,0.0,56.9972,63052.27
3b,2p5,90,858,643.9,0.0,53.9972,60348.15
3b,2p5,91,813,452.3,0.0,53.9974,60146.49
3b,2p5,92,903,292.9,0.0,57.9972,64432.16
3b,2p5,93,797,209.2,0.0,57.9971,64326.12
3b,2p5,95,831,2154.2,0.0,56.9968,63655.96
3b,2p5,96,774,662.3,0.0,50.9977,56986.89
3b,2p5,97,868,11435.1,0.0,55.9969,63123.68
3b,2p5,98,808,413.5,0.0,53.9973,60308.36
3b,2p5,99,875,2567.7,0.0,58.9972,65420.13
3b,3,0,749,176.2,0.0,39.9979,45497.17
3b,3,1,631,112.1,0.0,43.998,49299.37
3b,3,2,755,577.6,0.0,35.9983,41849.54
3b,3,3,673,194.9,0.0,43.9976,49560.93
3b,3,4,727,290.9,0.0,41.9977,47844.88
3b,3,5,680,424.6,0.0,41.9977,47306.99
3b,3,6,745,156.3,0.0,37.9981,43835.41
3b,3,7,721,301.0,0.0,39.9982,46115.31
3b,3,8,704,287.2,0.0,41.9981,47523.2
3b,3,9,683,91.0,0.0,45.9978,51833.05
3b,3,10,737,178.2,0.0,37.9982,43647.42
3b,3,11,668,404.0,0.0,45.9975,51496.76
3b,3,12,690,131.0,0.0,43.9981,49335.29
3b,3,13,660,213.0,0.0,41.998,47365.24
3b,3,14,708,100.4,0.0,47.9977,53360.83
3b,3,15,617,244.3,0.0,39.9982,45139.62
3b,3,16,748,300.3,0.0,41.9978,47662.84
3b,3,17,791,187.5,0.0,41.9979,47605.17
3b,3,18,621,188.2,0.0,35.9984,41195.79
3b,3,19,666,465.2,0.0,35.9983,41503.5
3b,3,20,649,73.6,0.0,42.9979,48299.12
3b,3,21,661,181.7,0.0,41.9979,47495.07
3b,3,22,735,354.9,0.0,37.9981,43865.29
3b,3,23,753,853.9,0.0,37.9982,43689.24
3b,3,24,648,231.6,0.0,39.9979,45425.2
3b,3,25,750,487.8,0.0,35.9984,42095.61
3b,3,26,684,286.7,0.0,35.9981,41737.37
3b,3,27,636,531.3,0.0,39.9983,45457.51
3b,3,28,634,168.7,0.0,45.998,51809.18
3b,3,29,753,772.5,0.0,39.9981,45209.46
3b,3,30,658,236.5,0.0,39.9981,45169.37
3b,3,31,699,365.7,0.0,39.9983,46127.45
3b,3,32,726,135.9,0.0,35.9981,41901.24
3b,3,33,708,462.1,0.0,35.9986,41579.85
3b,3,34,637,140.1,0.0,39.998,44905.4
3b,3,35,800,3683.9,0.0,39.9982,45947.36
3b,3,36,860,1080.3,0.0,43.9976,50692.63
3b,3,37,733,187.2,0.0,44.9975,50668.66
3b,3,38,775,619.6,0.0,43.9979,49577.09
3b,3,39,737,688.1,0.0,41.998,47873.09
3b,3,40,678,88.6,0.0,43.9977,49498.96
3b,3,41,770,544.4,0.0,39.9982,46071.33
3b,3,42,728,1771.5,0.0,37.9981,44001.15
3b,3,43,684,142.0,0.0,39.9981,45543.36
3b,3,44,644,95.6,0.0,47.9974,53766.74
3b,3,45,727,500.0,0.0,41.9976,47510.85
3b,3,46,745,147.6,0.0,41.9981,47323.27
3b,3,47,769,169.3,0.0,39.9982,45445.44
3b,3,48,788,446.8,0.0,39.9983,45395.5
3b,3,49,776,624.3,0.0,41.9982,48031.31
3b,3,50,758,202.1,0.0,43.9978,49701.0
3b,3,51,705,140.3,0.0,43.9977,49625.02
3b,3,52,638,106.3,0.0,38.9982,44439.49
3b,3,53,803,392.8,0.0,39.9982,45619.56
3b,3,54,654,108.6,0.0,41.9975,47284.74
3b,3,55,753,1336.6,0.0,37.9982,44185.3
3b,3,56,795,379.6,0.0,39.9983,45653.46
3b,3,57,676,147.6,0.0,43.9976,49322.93
3b,3,58,750,138.1,0.0,37.9982,43681.5
3b,3,59,642,197.5,0.0,35.9983,41329.56
3b,3,60,615,75.9,0.0,39.9984,44939.71
3b,3,61,635,308.8,0.0,34.9985,40391.77
3b,3,62,717,158.4,0.0,35.9985,41469.76
3b,3,63,764,229.0,0.0,41.9983,47679.51
3b,3,64,680,650.2,0.0,39.9979,45265.04
3b,3,65,785,639.8,0.0,43.9981,49913.21
3b,3,66,757,966.4,0.0,41.9983,47743.43
3b,3,67,743,251.9,0.0,37.9981,43601.38
3b,3,68,721,121.7,0.0,43.9976,49376.72
3b,3,69,779,478.3,0.0,35.9984,42129.71
3b,3,70,661,374.0,0.0,41.9979,47359.15
3b,3,71,649,245.8,0.0,43.9974,49692.73
3b,3,72,722,240.8,0.0,43.9977,49690.85
3b,3,73,653,105.7,0.0,36.9981,42345.4
3b,3,74,636,224.1,0.0,42.998,48577.35
3b,3,75,709,178.2,0.0,45.998,51501.13
3b,3,76,720,496.5,0.0,41.998,47575.07
3b,3,77,737,182.6,0.0,39.998,46187.12
3b,3,78,785,481.0,0.0,39.9984,45981.6
3b,3,79,718,186.1,0.0,43.9978,49647.06
